name,ring,quadrant,isNew,description
.Net Core 3.*,Adopt,languages-and-frameworks,false,<p><strong>TBD</strong></p>
.Net Entity Framework,Adopt,languages-and-frameworks,false,<p><strong>TBD</strong></p>
Angular,Adopt,languages-and-frameworks,false,<p><strong>TBD</strong></p>
C#,Adopt,languages-and-frameworks,false,<p><strong>TBD</strong></p>
C++,Adopt,languages-and-frameworks,false,<p><strong>TBD</strong></p>
CSOM,Adopt,languages-and-frameworks,false,<p><strong>TBD</strong></p>
JavaScript,Adopt,languages-and-frameworks,false,<p><strong>TBD</strong></p>
JSOM,Adopt,languages-and-frameworks,false,<p><strong>TBD</strong></p>
Node.js,Adopt,languages-and-frameworks,false,<p><strong>TBD</strong></p>
Python,Adopt,languages-and-frameworks,false,<p><strong>TBD</strong></p>
React,Adopt,languages-and-frameworks,false,<p><strong>TBD</strong></p>
Reference Arch Test Template,Adopt,languages-and-frameworks,false,<p><strong>TBD</strong></p>
Reference Arch Web Template,Adopt,languages-and-frameworks,false,<p><strong>TBD</strong></p>
SharePoint,Adopt,languages-and-frameworks,false,<p><strong>TBD</strong></p>
SQL,Adopt,languages-and-frameworks,false,<p><strong>TBD</strong></p>
SSOM,Adopt,languages-and-frameworks,false,<p><strong>TBD</strong></p>
TypeScript,Adopt,languages-and-frameworks,false,<p><strong>TBD</strong></p>
Vue,Adopt,languages-and-frameworks,false,<p><strong>TBD</strong></p>
.Net Core 5,Assess,languages-and-frameworks,true,<p><strong>TBD</strong></p>
Blazor,Assess,languages-and-frameworks,true,<p><strong>TBD</strong></p>
Next.js,Assess,languages-and-frameworks,true,<p><strong>TBD</strong></p>
TBD,Trial,languages-and-frameworks,true,<p><strong>TBD</strong></p>
.Net Framework,Hold,languages-and-frameworks,false,<p><strong>TBD</strong></p>
Frameworkless Frontend,Hold,languages-and-frameworks,false,<p><strong>TBD</strong></p>
VB,Hold,languages-and-frameworks,false,<p><strong>TBD</strong></p>
Azure Cloud Country hosting,Adopt,Platforms,false,<p><strong>TBD</strong></p>
Azure Cloud One Platform (managed),Adopt,Platforms,false,<p><strong>TBD</strong></p>
Azure Cloud One platform (sandbox),Adopt,Platforms,false,<p><strong>TBD</strong></p>
DE Intranet,Adopt,Platforms,false,<p><strong>TBD</strong></p>
DE Secure Hosting,Adopt,Platforms,false,<p><strong>TBD</strong></p>
NEO,Adopt,Platforms,true,<p><strong>TBD</strong></p>
